tdate,subportfolio,portfolio,security_id,strike,derivative_type,currency,total_active_lots
2025-08-02,BRZ_26_HK6_PR,BRZ_26_HK6_PR,CM CT K26,nan,future,USD,1528.0
2025-08-02,BRZ_26_KN6_PR,BRZ_26_KN6_PR,CM CT K26,nan,future,USD,-1528.0
2025-08-02,BRZ_26_KN6_PR,BRZ_26_KN6_PR,CM CT N26,nan,future,USD,1528.0
2025-08-02,BRZ_26_NZ5_PR,BRZ_26_NZ5_PR,CM CT Z25,nan,future,USD,0.0
2025-08-02,BRZ_26_NZ6_PR,BRZ_26_NZ6_PR,CM CT N26,nan,future,USD,-1528.0
2025-08-02,BRZ_26_NZ6_PR,BRZ_26_NZ6_PR,CM CT Z26,nan,future,USD,1528.0
2025-08-02,BRZ_26_ZH6_PR,BRZ_26_ZH6_PR,CM CT H26,nan,future,USD,1528.0
2025-08-02,BRZ_26_ZH6_PR,BRZ_26_ZH6_PR,CM CT Z25,nan,future,USD,-1528.0
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250804.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250805.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250806.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250807.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250808.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250811.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250812.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250813.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250814.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250815.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250818.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250819.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250820.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250821.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250822.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250825.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250826.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250827.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
