tdate,subportfolio,portfolio,security_id,strike,derivative_type,currency,total_active_lots
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250828.Z25P 73.3,73.3,vanilla_put,USD,0.382609
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25C 72,72.0,vanilla_call,USD,-0.208334
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25C 73.3,73.3,vanilla_call,USD,-0.765218
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25P 67,67.0,vanilla_put,USD,51.979166
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25P 67.01,67.01,vanilla_put,USD,-52.083333
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25P 67.5,67.5,vanilla_put,USD,221.530434
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25P 67.51,67.51,vanilla_put,USD,-221.913043
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25P 72,72.0,vanilla_put,USD,0.104167
2025-08-02,BRZ_GROWER,BRZ_GROWER,CM CT 20250829.Z25P 73.3,73.3,vanilla_put,USD,0.382609
